concept|relations|other_type|text
저수조 관측 공백의 염소 주입 보류|state,boundary,other|후속 검증 누락|저수조 수위 기록이 비어 있고 염소 주입기 로그만 남았을 때, 저수조 관측 공백의 염소 주입 보류는 운영자가 확인된 주입량과 확인되지 않은 수위 정보를 구분하는 보류 상태다. 후속 검증 누락 때문에 수위 측정 전에는 주입량을 늘리지 않아 저수조 농도 변동을 막는다.
교대 전 누수 감시기 점검 인계|process,other,role|예외 승인 시각 미상|누수 감시기 경보가 다음 교대 직전에 울리고 정수 펌프 운전 기록은 이전 교대에 끝났을 때, 교대 전 누수 감시기 점검 인계는 운영자가 두 기록의 시점을 구분해 다음 당직자에게 현장 점검을 넘기는 과정이다. 예외 승인 시각 미상이라서 승인 전에는 펌프 출력을 바꾸지 않아 급수 압력 변동을 막는다.
배수문 표본 부족 시 우회 승인 보류|classification,boundary,state||배수문 개방 기록이 일부만 남고 염소 주입기 농도 기록이 끊겼을 때, 배수문 표본 부족 시 우회 승인 보류는 관리자가 측정된 구간과 추정 구간을 분류하는 보류 상태다. 추가 표본이 모이기 전에는 여과지 우회를 승인하지 않아 처리수 경로를 잘못 바꾸지 않는다.
수압 센서와 수질 계측기 채널 비교|state,comparison,other|센서 채널 불일치|수압 센서 값은 낮은 압력을 보이는데 수질 계측기 값은 정상일 때, 수압 센서와 수질 계측기 채널 비교는 운영자가 두 채널의 수치를 비교하는 보류 상태다. 센서 채널 불일치 때문에 압력 측정이 일치할 때까지 펌프 출력을 조정하지 않아 불필요한 급수 제한을 막는다.
여과지 기록 부족 시 원수 유입 확인|process,boundary,attribute||여과지 압력 기록이 한 차례만 있고 원수 유입량은 다른 시간대에 측정됐을 때, 여과지 기록 부족 시 원수 유입 확인은 운영자가 측정 시각 차이와 실제 유입량 변화를 구분하는 과정이다. 관리자는 두 수치가 같은 시각에 확인될 때까지 유입량을 늘리지 않아 여과지 압력 상승을 막는다.
방류 기록 공백의 염소 주입 범위|part_of,state,other|다음 단계 입력 결측|방류량 기록은 있지만 다음 단계의 염소 주입 기록이 없을 때, 방류 기록 공백의 염소 주입 범위는 전체 처리 과정 중 확인된 방류 단계만 나타내는 상태다. 다음 단계 입력 결측 때문에 당직자는 주입량을 확정하지 않아 근거 없는 농도 조정을 막는다.
원수 유입과 여과지의 부분 연결 확인|state,boundary,other|중간 관측 결측|원수 유입량과 여과지 압력 기록 사이의 중간 수위 기록이 없을 때, 원수 유입과 여과지의 부분 연결 확인은 운영자가 확인된 두 기록과 확인되지 않은 중간 구간을 구분하는 보류 상태다. 중간 관측 결측 때문에 유입량을 바로 올리지 않아 여과지 압력 급등을 막는다.
수질 계측기와 펌프 기록 출처 확인|process,other,role|출처 연결 불명|수질 계측기 탁도 기록과 정수 펌프 운전 기록의 작성자가 다를 때, 수질 계측기와 펌프 기록 출처 확인은 운영자가 두 기록의 출처를 확인해 같은 사건으로 연결할지 보류하는 과정이다. 출처 연결 불명 상태에서는 펌프를 정지하지 않아 급수 중단을 막는다.
당직표 공백의 배수문 상태 분류|classification,boundary,state||운영 당직표에는 배수문 개방 지시가 없지만 배수문 위치 값이 바뀌었을 때, 당직표 공백의 배수문 상태 분류는 운영자가 확인된 위치 변화와 확인되지 않은 지시를 구분하는 분류 기준이다. 지시가 확인되기 전에는 개방 상태를 정상 운전으로 확정하지 않아 과다 방류를 막는다.
정수 펌프와 누수 감시기 기록 비교|state,comparison,other|식별 기록 상충|정수 펌프 전류값은 정상인데 누수 감시기 압력 기록은 낮을 때, 정수 펌프와 누수 감시기 기록 비교는 운영자가 두 기록의 수치를 비교하는 보류 상태다. 식별 기록 상충 때문에 현장 점검 전에는 누수로 단정하지 않아 불필요한 펌프 정지를 막는다.
염소 주입기 기록 공백의 저수조 확인|process,boundary,attribute||염소 주입량 기록이 없고 저수조 수위만 남았을 때, 염소 주입기 기록 공백의 저수조 확인은 운영자가 확인된 수위와 확인되지 않은 주입량을 구분하는 과정이다. 관리자는 수위 측정 시각과 이전 주입량을 대조해 주입량을 임의로 올리지 않아 저수조 농도 변동을 막는다.
