concept|relations|other_type|text
수율 보고서의 국소 공정 엔지니어 변화와 격리 구역 영향|attribute,process,boundary||검토표에는 ‘수율·보고서의·국소·공정·엔지니어·변화와·격리·구역·영향’라는 사례가 남아 있다. 변화가 발생한 조건과 시점을 먼저 확인한다. ‘수율 보고서의 국소 공정 엔지니어 변화와 격리 구역 영향’ 관계가 닿은 구간을 비교하고 근거가 약한 전파는 보류하며 직접 관측한 결과를 기록한다. 관련 값과 측정 시각을 보존한다. 변화가 일어난 뒤의 진행을 적는다. 구분이 바뀌는 지점을 따로 표시한다. 확인되지 않은 단계는 사실로 확정하지 않는다.
비상 전환에 클린룸 입실대에서 공정 로그로 번지는 범위|state,comparison,role||기록된 사례 ‘비상·전환에·클린룸·입실대에서·공정·로그로·번지는·범위’의 입력과 결과를 살핀다. 변화가 발생한 조건과 시점을 먼저 확인한다. ‘비상 전환에 클린룸 입실대에서 공정 로그로 번지는 범위’ 관계가 닿은 구간을 비교하고 근거가 약한 전파는 보류하며 직접 관측한 결과를 기록한다. 각 시점의 상태를 구분한다. 높고 낮은 정도를 나란히 확인한다. 담당 주체와 책임 범위를 명시한다. 누락된 근거는 별도 항목으로 남긴다.
필터 차압계 한 지점 변화가 공정 엔지니어에 닿은 중앙 표본|process,part_of,function||자료에 적힌 ‘필터·차압계·한·지점·변화가·공정·엔지니어에·닿은·중앙·표본’ 사례를 시간 순으로 배열한다. 변화가 발생한 조건과 시점을 먼저 확인한다. ‘필터 차압계 한 지점 변화가 공정 엔지니어에 닿은 중앙 표본’ 관계가 닿은 구간을 비교하고 근거가 약한 전파는 보류하며 직접 관측한 결과를 기록한다. 앞 단계와 다음 단계의 과정을 확인한다. 구성 부분이 어느 전체에 속하는지 확인한다. 작업이 수행하는 기능을 확인한다. 관측 범위를 넘는 결론은 기록하지 않는다.
가스 공급반 주변의 초순수 배관 상태와 공정 로그 분기|state,boundary,attribute||담당자는 ‘가스·공급반·주변의·초순수·배관·상태와·공정·로그·분기’ 사례의 근거부터 확인한다. 변화가 발생한 조건과 시점을 먼저 확인한다. ‘가스 공급반 주변의 초순수 배관 상태와 공정 로그 분기’ 관계가 닿은 구간을 비교하고 근거가 약한 전파는 보류하며 직접 관측한 결과를 기록한다. 변경 전후의 상태를 따로 적는다. 서로 다른 대상을 섞지 않고 분리한다. 측정된 성질을 원자료와 맞춘다. 자료가 어긋나면 추가 확인 전까지 판단을 보류한다.
세정 장치의 작은 이탈 뒤 파티클 계수기 경로를 제한하는 판단|process,role,comparison||운영 자료의 사례명은 ‘세정·장치의·작은·이탈·뒤·파티클·계수기·경로를·제한하는·판단’이다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘세정 장치의 작은 이탈 뒤 파티클 계수기 경로를 제한하는 판단’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 변화가 일어난 뒤의 진행을 적는다. 운영 담당자가 맡은 책임을 확인한다. 기준값과 관측값의 차이를 비교한다. 확인되지 않은 단계는 사실로 확정하지 않는다.
오염 경보의 국소 공정 엔지니어 변화와 가스 공급반 영향|state,process,part_of||현장 기록에서 ‘오염·경보의·국소·공정·엔지니어·변화와·가스·공급반·영향’ 사례를 먼저 읽는다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘오염 경보의 국소 공정 엔지니어 변화와 가스 공급반 영향’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 현재 상태와 이전 상태를 함께 확인한다. 발생 순서와 이후 단계를 기록한다. 구성 부분과 전체 단위를 나누어 적는다. 누락된 근거는 별도 항목으로 남긴다.
경계 직전에 파티클 계수기에서 세정 장치로 번지는 범위|attribute,process,boundary||검토표에는 ‘경계·직전에·파티클·계수기에서·세정·장치로·번지는·범위’라는 사례가 남아 있다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘경계 직전에 파티클 계수기에서 세정 장치로 번지는 범위’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 관련 값과 측정 시각을 보존한다. 변화가 일어난 뒤의 진행을 적는다. 구분이 바뀌는 지점을 따로 표시한다. 관측 범위를 넘는 결론은 기록하지 않는다.
가스 공급반 한 지점 변화가 공정 로그에 닿은 배치 변경|state,comparison,role||기록된 사례 ‘가스·공급반·한·지점·변화가·공정·로그에·닿은·배치·변경’의 입력과 결과를 살핀다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘가스 공급반 한 지점 변화가 공정 로그에 닿은 배치 변경’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 각 시점의 상태를 구분한다. 높고 낮은 정도를 나란히 확인한다. 담당 주체와 책임 범위를 명시한다. 자료가 어긋나면 추가 확인 전까지 판단을 보류한다.
필터 차압계 주변의 격리 구역 상태와 공정 엔지니어 분기|process,part_of,function,other|식별 기록 상충|자료에 적힌 ‘필터·차압계·주변의·격리·구역·상태와·공정·엔지니어·분기’ 사례를 시간 순으로 배열한다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘필터 차압계 주변의 격리 구역 상태와 공정 엔지니어 분기’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 앞 단계와 다음 단계의 과정을 확인한다. 구성 부분이 어느 전체에 속하는지 확인한다. 작업이 수행하는 기능을 확인한다. 결측 구간은 추가 확인 전까지 보류한다. 확인되지 않은 단계는 사실로 확정하지 않는다. ‘식별 기록 상충’ 조건이 해소되기 전에는 다음 판단을 확정하지 않는다.
공정 로그의 작은 이탈 뒤 클린룸 입실대 경로를 제한하는 판단|state,boundary,attribute||담당자는 ‘공정·로그의·작은·이탈·뒤·클린룸·입실대·경로를·제한하는·판단’ 사례의 근거부터 확인한다. 한 지점의 값이 바뀐 뒤 어느 구간이 달라졌는지 확인한다. ‘공정 로그의 작은 이탈 뒤 클린룸 입실대 경로를 제한하는 판단’ 관계의 영향이 확인되지 않으면 판단을 보류하고 변화 범위를 기록한다. 변경 전후의 상태를 따로 적는다. 서로 다른 대상을 섞지 않고 분리한다. 측정된 성질을 원자료와 맞춘다. 누락된 근거는 별도 항목으로 남긴다.
공정 엔지니어의 국소 수율 보고서 변화와 파티클 계수기 영향|process,role,comparison||운영 자료의 사례명은 ‘공정·엔지니어의·국소·수율·보고서·변화와·파티클·계수기·영향’이다. 변경 전후의 자료를 대조해 ‘공정 엔지니어의 국소 수율 보고서 변화와 파티클 계수기 영향’ 관계의 반응 시점을 찾는다. 독립된 대상에는 결론을 확대하지 않고 확인된 결과만 기록한다. 변화가 일어난 뒤의 진행을 적는다. 운영 담당자가 맡은 책임을 확인한다. 기준값과 관측값의 차이를 비교한다. 관측 범위를 넘는 결론은 기록하지 않는다.
수동 전환에 웨이퍼 카세트에서 세정 장치로 번지는 범위|state,process,part_of||현장 기록에서 ‘수동·전환에·웨이퍼·카세트에서·세정·장치로·번지는·범위’ 사례를 먼저 읽는다. 변경 전후의 자료를 대조해 ‘수동 전환에 웨이퍼 카세트에서 세정 장치로 번지는 범위’ 관계의 반응 시점을 찾는다. 독립된 대상에는 결론을 확대하지 않고 확인된 결과만 기록한다. 현재 상태와 이전 상태를 함께 확인한다. 발생 순서와 이후 단계를 기록한다. 구성 부분과 전체 단위를 나누어 적는다. 자료가 어긋나면 추가 확인 전까지 판단을 보류한다.
수율 보고서 한 지점 변화가 격리 구역에 닿은 정상 복귀|attribute,process,boundary||검토표에는 ‘수율·보고서·한·지점·변화가·격리·구역에·닿은·정상·복귀’라는 사례가 남아 있다. 변경 전후의 자료를 대조해 ‘수율 보고서 한 지점 변화가 격리 구역에 닿은 정상 복귀’ 관계의 반응 시점을 찾는다. 독립된 대상에는 결론을 확대하지 않고 확인된 결과만 기록한다. 관련 값과 측정 시각을 보존한다. 변화가 일어난 뒤의 진행을 적는다. 구분이 바뀌는 지점을 따로 표시한다. 확인되지 않은 단계는 사실로 확정하지 않는다.
