# concept<TAB>relations<TAB>other_category<TAB>boundary_pattern<TAB>directly authored text
# 001-025 조류·포유류와 비행 형질
비행능력과조류분류	boundary,classification,contrast	-	insufficient_feature	비행능력과조류분류는 같은 기준이 아니다. 박쥐는 날개로 날지만 새끼에게 젖을 먹이는 포유류이므로, 비행만으로 조류를 판정할 수 없다.
날개존재와새판정	boundary,classification,attribute	-	insufficient_feature	날개존재와새판정 사이에는 추가 기준이 필요하다. 나비도 날개를 지니지만 깃털과 척추가 없으므로 새 범주에 들어가지 않는다.
깃털모양과조류판정	boundary,classification,contrast	-	neighbor_distinction	깃털모양과조류판정을 연결할 때는 실제 깃털 조직을 확인해야 한다. 깃털처럼 갈라진 식물 잎이나 장식 섬유는 모양이 닮아도 조류의 형질이 아니다.
부리형태와조류분류	boundary,classification,attribute	-	insufficient_feature	부리형태와조류분류를 동일시하면 거북의 각질 입까지 새의 부리로 오인한다. 비슷한 먹이 섭취 구조는 공통 조상을 뜻하지 않으며 골격과 다른 형질을 함께 봐야 한다.
산란행동과조류판정	boundary,classification,contrast	-	insufficient_feature	산란행동과조류판정은 일대일 관계가 아니다. 거북과 오리너구리도 알을 낳으므로 산란은 새의 흔한 특징일 수 있지만 조류만의 충분조건은 아니다.
체온유지와조류분류	boundary,classification,state	-	insufficient_feature	체온유지와조류분류를 곧바로 묶을 수 없다. 많은 포유류도 대사로 체온을 조절하므로 일정한 체온은 조류와 포유류를 가르는 단독 기준이 아니다.
펭귄비행불능과조류정체성	boundary,classification,contrast	-	conditional_exception	펭귄비행불능과조류정체성은 모순되지 않는다. 펭귄은 공중 비행을 못 해도 깃털·부리·조류 골격과 번식 형질을 지녀 여전히 새로 분류된다.
타조날개와비행능력	boundary,attribute,contrast	-	insufficient_feature	타조날개와비행능력은 별개의 판단이다. 타조에게 날개가 존재해도 몸집과 날개 구조는 지속 비행에 맞지 않으므로 날개 보유가 곧 비행 가능성을 보장하지 않는다.
박쥐날개와포유류분류	boundary,classification,contrast	-	neighbor_distinction	박쥐날개와포유류분류를 구분하려면 날개 표면보다 번식과 체모를 봐야 한다. 박쥐의 막날개는 새의 깃털 날개와 기원이 다르다.
날다람쥐활공과자력비행	boundary,contrast,process	-	neighbor_distinction	날다람쥐활공과자력비행은 공중 이동이라는 결과만 닮았다. 날다람쥐는 높은 곳에서 피막을 펼쳐 내려갈 뿐 날갯짓으로 고도를 계속 얻지 못한다.
날치활공과조류오인	boundary,classification,process	-	insufficient_feature	날치활공과조류오인을 막으려면 수면 위 이동 방식을 살펴야 한다. 날치는 지느러미를 펼쳐 잠시 미끄러지지만 아가미로 호흡하는 어류다.
곤충비행과새구분	boundary,classification,contrast	-	neighbor_distinction	곤충비행과새구분은 날개 수와 몸 구조에서 분명해진다. 벌은 날아다녀도 외골격과 여섯 다리를 가진 무척추동물이며 조류가 아니다.
익룡과현생조류	boundary,classification,contrast	-	neighbor_distinction	익룡과현생조류는 모두 날았지만 같은 집단이 아니다. 익룡은 막날개를 지닌 멸종 파충류 계통이고, 새는 깃털을 가진 공룡 계통의 현생 후손이다.
오리너구리산란과포유류	boundary,classification,contrast	-	conditional_exception	오리너구리산란과포유류 분류는 함께 성립한다. 알을 낳는 예외가 있어도 젖샘과 털 등 핵심 형질 때문에 오리너구리는 포유류다.
가시두더지알과포유류	boundary,classification,contrast	-	conditional_exception	가시두더지알과포유류라는 조합은 포유류가 모두 새끼를 낳는다는 일반화의 반례다. 산란 여부 하나가 젖샘을 비롯한 계통 형질을 지우지는 않는다.
고래털부재와포유류	boundary,classification,attribute	-	conditional_exception	고래털부재와포유류 분류를 대립시켜서는 안 된다. 성체에서 털이 두드러지지 않아도 폐호흡·수유·체온 조절과 계통 관계가 포유류임을 뒷받침한다.
박쥐야행성과조류	boundary,classification,attribute	-	insufficient_feature	박쥐야행성과조류 여부는 관련이 없다. 밤에 날아다니는 습성은 올빼미와 공유하지만, 같은 활동 시간대가 두 동물을 같은 분류군으로 만들지 않는다.
새끼수유와포유류판정	boundary,classification,is_a	-	necessary_sufficient	새끼수유와포유류판정에서는 젖샘이 중요한 계통 형질이다. 다만 사람이 다른 종의 새끼에게 우유를 먹이는 행동은 그 새끼의 생물학적 분류를 바꾸지 않는다.
