# concept<TAB>relations<TAB>directly authored text
매장상품가격표시기	function,role,attribute	매장상품가격표시기는 상품 코드와 현재 판매가·단위 가격·할인 기간을 연결해 진열대에서 고객이 지불 조건을 확인하게 하고, 계산대 가격과 어긋난 항목은 직원이 바로 고칠 수 있도록 표시한다.
선반전자라벨관리기	function,process,state	선반전자라벨관리기는 중앙 가격 자료를 각 진열 위치의 전자 표찰로 전송하고 갱신 성공 여부와 배터리 상태를 되돌려 받아, 행사 시작과 종료 시각에 맞춰 수많은 가격표를 일관되게 바꾼다.
상품가격검증대	function,comparison,boundary	상품가격검증대는 고객이 바코드를 읽히면 등록 판매가와 적용 가능한 할인 조건을 화면에 보여 주며, 단순 홍보 문구와 실제 결제 가격의 경계를 계산 전에 확인하게 한다.
매장진열위치안내기	function,role,state	매장진열위치안내기는 찾는 상품명을 매장 구역·통로·선반 번호와 대응시키고 품절이나 위치 변경 상태를 반영해, 고객과 보충 직원이 불필요하게 매장을 헤매지 않도록 길을 안내한다.
고객대기번호발급기	function,process,role	고객대기번호발급기는 요청 서비스와 방문 순서를 번호표에 기록하고 해당 창구의 처리 흐름에 넣어, 여러 사람이 한곳에 몰려도 호출 순서와 예상 대기 범위를 알 수 있게 한다.
무인상품계산대	function,process,boundary	무인상품계산대는 고객이 상품을 등록하고 할인·결제·영수증 발급을 스스로 마치게 하되, 연령 확인이나 무게 불일치처럼 직원 판단이 필요한 경우에는 자동 처리 범위를 넘겨 호출한다.
계산원판매시점단말기	function,role,process	계산원판매시점단말기는 상품·수량·할인·세금을 한 거래로 묶어 결제 금액을 계산하고 승인 결과와 영수증을 남기며, 판매 순간의 재고와 매출 장부를 함께 갱신한다.
매장상품도난방지게이트	function,boundary,state	매장상품도난방지게이트는 출구를 지나는 보안 표지를 감지해 정상 결제로 비활성화된 상품과 활성 표지가 남은 상품을 구분하고, 확인이 필요한 통과에만 빛과 소리로 알린다.
장바구니무게확인대	function,comparison,attribute	장바구니무게확인대는 계산 과정에서 등록된 상품의 예상 중량 합계와 실제 적재 중량을 비교해 누락이나 잘못 놓인 물품을 찾되, 포장재와 허용 오차는 정상 범위로 처리한다.
신선식품라벨발행기	function,attribute,process	신선식품라벨발행기는 저울에서 받은 중량에 단가를 적용하고 상품명·포장 시각·소비기한·가격을 한 표찰로 인쇄해, 낱개 코드가 없는 농수산물도 계산과 추적이 가능하게 한다.
