# concept<TAB>relations<TAB>directly authored text
급수본관	function,role	급수본관은 정수된 물을 건물이나 단지의 여러 분기 배관으로 운반하는 주 공급 통로다.
수도미터	function,process	수도미터는 지나가는 물의 부피를 누적해 사용량과 누수 분석에 필요한 값을 제공한다.
감압밸브	function,state	감압밸브는 상류 압력이 변해도 하류 물압이 설정값을 넘지 않도록 통로를 자동 조절한다.
역류방지기	function,boundary	역류방지기는 오염된 물이 급수 쪽으로 되돌아가는 것을 막지만 정상 순방향 흐름은 허용한다.
체크밸브	function,state	체크밸브는 유체가 정방향으로 밀 때 열리고 압력이 뒤집히면 닫혀 한 방향 흐름을 만든다.
게이트밸브	function,boundary	게이트밸브는 판을 완전히 올리거나 내려 배관을 차단하며 미세한 유량 조절에는 적합하지 않다.
볼밸브	function,state	구멍 난 공을 90도 돌리는 볼밸브는 배관을 빠르게 완전 개방하거나 차단한다.
혼합밸브	function,process	혼합밸브는 뜨거운 물과 찬물의 비율을 바꿔 출구 온도를 안전한 범위에 맞춘다.
수격방지기	function,process	수격방지기는 밸브가 갑자기 닫힐 때 생기는 압력파를 공기실이나 피스톤으로 흡수한다.
팽창탱크	function,state	팽창탱크는 물이 데워져 늘어날 때 압축 가능한 공간을 제공해 배관 압력 상승을 완화한다.
급수펌프	function,role	급수펌프는 낮은 저장조의 물에 압력을 더해 위층과 먼 사용 지점까지 보낸다.
부스터펌프	function,state	부스터펌프는 말단 압력이 부족할 때 추가로 작동해 필요한 급수 압력을 보충한다.
순환펌프	function,role	순환펌프는 폐회로의 물을 계속 움직여 열과 약품이 설비 전체에 고르게 전달되게 한다.
오수이송펌프	function,boundary	오수이송펌프는 고형물이 섞인 생활 오수를 높은 배관으로 보내며 깨끗한 음용수 공급에는 쓰지 않는다.
집수정펌프	function,state	집수정펌프는 모인 물이 일정 수위에 도달하면 자동으로 켜져 침수 전에 밖으로 배출한다.
고가수조	function,attribute	높은 곳의 고가수조는 물의 위치 에너지로 정전 중에도 아래 급수구에 일정 압력을 제공한다.
저수조	function,role	저수조는 공급 변동에 대비해 많은 물을 저장하고 건물 펌프가 안정적으로 흡입하게 한다.
압력탱크	function,state	압력탱크의 압축 공기는 펌프가 멈춘 동안에도 물을 밀어 짧은 사용마다 재기동하는 횟수를 줄인다.
플로트밸브	function,process	수면과 함께 뜨는 플로트밸브는 탱크가 차면 유입구를 닫고 수위가 낮아지면 다시 연다.
수위센서	function,boundary	수위센서는 저장된 액체의 높이를 감지해 제어 신호를 내지만 물을 직접 이동시키지는 않는다.
세면수전	function,role	세면수전은 손 씻기에 필요한 물을 세면대 위에서 열고 닫으며 흐름 방향을 정한다.
주방수전	function,attribute	높고 회전하는 주방수전은 큰 용기를 싱크에 넣고도 물줄기를 원하는 위치로 보낸다.
샤워혼합수전	function,state	샤워혼합수전은 냉수와 온수 유량을 함께 조정해 선택한 온도의 물을 샤워헤드로 공급한다.
절수형샤워헤드	function,comparison	절수형샤워헤드는 공기를 섞거나 구멍을 제한해 일반 헤드보다 적은 물로 비슷한 분사감을 만든다.
에어레이터	function,part_of,role	에어레이터는 수전 끝에서 물에 공기를 섞어 튐을 줄이고 부드러운 흐름으로 만든다.
자동수전센서	function,part_of,state	자동수전센서는 손이 감지 범위에 들어오면 밸브를 열고 사라지면 닫아 불필요한 물 사용을 줄인다.
변기물탱크	function,part_of,state	변기물탱크는 한 번의 세정에 필요한 물을 저장하고 레버 신호가 오면 그 물을 빠르게 내보낸다.
플러시밸브	function,state	플러시밸브는 작동 순간 큰 유량을 변기로 보내고 정해진 양이 지나면 자동으로 닫힌다.
비데노즐	function,part_of,process	비데노즐은 사용 때 앞으로 나와 세정수를 분사하고 종료 뒤 들어가 헹굼 위치로 돌아간다.
소변기트랩	function,part_of,role	소변기트랩은 굽은 배수로에 물을 남겨 하수 가스가 위생기구로 올라오는 것을 막는다.
P트랩	function,classification,subclass_of	옆으로 배출되는 P트랩은 물막을 만드는 위생 배수 트랩의 하위 유형이다.
S트랩	function,classification,subclass_of	바닥 방향으로 굽어 내려가는 S트랩은 수직 배수구에 연결하는 트랩의 하위 유형이다.
바닥트랩	function,state	바닥트랩은 바닥 물을 배수하면서 내부 물막이나 차단판으로 냄새와 벌레의 역류를 줄인다.
통기관	function,role	통기관은 배수관 안의 압력을 대기와 맞춰 트랩의 물이 빨려 나가거나 밀려나는 것을 막는다.
배수스택	function,role	배수스택은 여러 층의 오수를 중력으로 받아 건물 아래 하수관까지 수직 운반한다.
청소구	function,part_of,state	청소구는 평소 마개로 닫혀 있다가 배관 막힘을 뚫을 때 공구를 넣는 점검 입구가 된다.
그리스인터셉터	function,process	그리스인터셉터는 주방 오수의 흐름을 느리게 해 떠오른 기름을 가두고 물만 다음 배관으로 보낸다.
오수저장조	function,role	오수저장조는 중력 배출이 어려운 지하 오수를 모아 펌프가 처리할 수 있는 양으로 완충한다.
하수역류방지밸브	function,state	하수역류방지밸브는 평소 배수를 허용하다 외부 수위가 올라오면 닫혀 실내 범람을 막는다.
선형배수구	function,attribute	길고 좁은 선형배수구는 샤워실과 출입구 바닥의 물을 넓은 가장자리에서 연속해서 모은다.
가스온수기	function,process	가스온수기는 연료를 태운 열로 열교환기를 데우고 지나가는 급수에 열을 전달한다.
전기온수기	function,role	전기온수기는 저항 히터로 물을 데워 가스 배관이 없는 장소에 온수를 공급한다.
열펌프온수기	function,comparison	열펌프온수기는 전기저항식보다 주변 공기의 열을 옮겨 같은 온수를 적은 전력으로 만든다.
저장식온수탱크	function,state	저장식온수탱크는 데운 물을 단열 용기에 보관해 여러 사용처가 동시에 요구할 때 공급한다.
순간온수기	function,boundary	순간온수기는 물이 흐를 때만 가열해 저장 손실을 줄이지만 순간 최대 유량에는 한계가 있다.
온수순환배관	function,part_of,role	온수순환배관은 말단에서 식은 물을 열원으로 되돌려 수도를 열었을 때 따뜻한 물이 빨리 나오게 한다.
온도압력안전밸브	function,state	온도압력안전밸브는 온수탱크 값이 위험 기준을 넘으면 열려 물과 증기를 배출한다.
희생양극봉	function,part_of,process	희생양극봉은 온수탱크 금속보다 먼저 부식되어 내벽의 전기화학적 부식을 늦춘다.
판형열교환기	function,attribute	얇은 판이 교대로 흐름을 나누는 판형열교환기는 두 유체가 섞이지 않은 채 열을 전달한다.
태양열온수집열기	function,process	태양열온수집열기는 햇빛을 흡수판에 모아 순환 유체를 데우고 저장조로 열을 보낸다.
급기팬	function,role	급기팬은 필터를 거친 바깥 공기를 덕트로 밀어 실내에 필요한 환기량을 공급한다.
배기팬	function,boundary	배기팬은 오염된 실내 공기를 밖으로 빼내며 신선한 보충 공기는 별도 경로가 필요하다.
전열교환환기장치	function,process	전열교환환기장치는 나가는 공기의 열과 수분 일부를 들어오는 공기로 옮겨 환기 손실을 줄인다.
열회수환기장치	function,boundary	열회수환기장치는 배기 열을 회수하지만 두 공기 흐름을 직접 섞어 냄새를 되돌리지는 않는다.
주방후드	function,role	주방후드는 조리대 위에서 연기, 수증기, 기름 입자를 포집해 덕트나 필터로 보낸다.
욕실환풍기	function,state	욕실환풍기는 사용 중 습한 공기를 배출해 거울 결로와 곰팡이가 생기는 시간을 줄인다.
덕트	function,role	덕트는 팬이 만든 공기 흐름을 건물 안의 급기구와 배기구 사이로 운반한다.
플렉시블덕트	function,comparison	플렉시블덕트는 단단한 직선 덕트보다 굴곡 공간에 설치하기 쉽지만 긴 구간의 압력 손실이 크다.
방화댐퍼	function,state	방화댐퍼는 평소 덕트를 열어 두다가 열이나 화재 신호를 받으면 닫혀 불길 확산을 막는다.
풍량조절댐퍼	function,state	풍량조절댐퍼는 날개 각도를 바꿔 각 분기 덕트로 흐르는 공기량을 균형 있게 맞춘다.
디퓨저	function,role	천장 디퓨저는 덕트의 공기를 여러 방향으로 퍼뜨려 실내에 빠른 국부 바람이 생기는 것을 줄인다.
그릴	function,part_of,boundary	환기 그릴은 개구부를 보호하고 공기 방향을 정하지만 자체로 공기를 움직이는 팬은 아니다.
제트노즐	function,attribute	좁은 제트노즐은 높은 천장 공간에 빠른 공기 흐름을 멀리 보내 목표 구역까지 도달하게 한다.
슬롯디퓨저	function,classification,subclass_of	가느다란 선형 틈으로 공기를 내보내는 슬롯디퓨저는 천장 급기구의 하위 유형이다.
환기필터	function,role	환기필터는 들어오는 공기의 먼지와 꽃가루를 포집해 덕트와 실내 표면의 오염을 줄인다.
프리필터	function,part_of,role	프리필터는 공기처리 장치 앞단에서 큰 먼지를 먼저 잡아 뒤의 고성능 필터 수명을 늘린다.
활성탄필터	function,boundary	활성탄필터는 냄새와 일부 기체를 흡착하지만 미세입자 제거 성능은 별도 여과층에 의존한다.
전기집진필터	function,process	전기집진필터는 입자에 전하를 주고 반대 전극판으로 끌어당겨 공기에서 분리한다.
UV공기살균모듈	function,part_of,boundary	UV공기살균모듈은 장치 안을 지나는 공기와 코일 표면에 빛을 조사하지만 실내 먼지를 포집하지 않는다.
공기질센서	function,role	공기질센서는 미세먼지와 기체 농도를 감지해 환기와 공기청정 운전을 조절할 근거를 제공한다.
보일러	function,role	보일러는 연료나 전기로 물을 데워 난방 회로와 온수 설비에 열을 공급한다.
콘덴싱보일러	function,comparison	콘덴싱보일러는 일반 보일러가 버리는 배기가스 수증기의 잠열까지 회수해 효율을 높인다.
라디에이터	function,process	라디에이터는 내부 온수의 열을 금속 표면과 주변 공기로 전달해 방을 데운다.
바닥난방배관	function,part_of,role	바닥난방배관은 따뜻한 물을 바닥 전체에 순환시켜 넓은 면에서 복사와 대류열을 낸다.
난방매니폴드	function,part_of,role	난방매니폴드는 열원에서 온 물을 방별 회로로 나누고 돌아오는 물을 다시 모은다.
온도조절밸브	function,state	온도조절밸브는 주변 온도나 제어 신호에 따라 유량을 줄이거나 늘려 방열량을 조절한다.
난방팽창용기	function,part_of,state	난방팽창용기는 가열수가 부피를 늘릴 때 공기막이 눌리며 폐회로 압력을 안전하게 유지한다.
공기분리기	function,process	공기분리기는 난방수 속 작은 기포를 합쳐 위쪽 배출구로 보내 소음과 부식을 줄인다.
순환수필터	function,role	순환수필터는 난방 배관의 녹과 침전물을 잡아 펌프와 밸브가 막히는 것을 예방한다.
굴뚝댐퍼	function,state	굴뚝댐퍼는 연소 중 배기 통로를 확보하고 정지 때 닫혀 따뜻한 실내 공기가 빠지는 것을 줄인다.
