# family	도시 블록·도로·교차로·공원·시설의 배치
# axes	블록 내부, 맞은편, 교차, 인접 필지, 중심/외곽
# columns	concepts	relations	other_category	logic_pattern	directly_authored_text
# 001~030 블록·필지·공원의 포함과 경계
주거블록안의어린이놀이터	other,classification,role	containment_location	containment	주거블록안의어린이놀이터는 블록을 둘러싼 도로 경계 안에 있지만 어느 한 주택의 대지에는 속하지 않는 공용 공간이다.
상업블록내부의보행광장	other,boundary,function	containment_location	containment	상업블록내부의보행광장은 건물 전면 사이에서 차량 도로와 분리된 열린 구역이다. 블록 안과 건물 안이라는 포함을 구별한다.
공원안쪽의잔디마당	other,classification,state	containment_location	containment	공원안쪽의잔디마당은 공원 경계 안에서 산책로에 둘러싸인 녹지 범위다. 인접한 화단과 기능 구획은 달라도 같은 공원에 포함된다.
학교부지밖의통학버스정류장	other,boundary,role	containment_location	containment	학교부지밖의통학버스정류장은 담장 경계를 벗어난 공공 도로변에 놓인다. 학교가 주로 사용해도 필지 포함 관계는 바뀌지 않는다.
역세권구역안의환승센터	other,classification,function	containment_location	containment	역세권구역안의환승센터는 역을 중심으로 정한 계획 범위 안에 자리한다. 행정 구역과 보행 거리 기반 권역은 경계 기준이 다르다.
시장골목속의공동배송장	other,role,function	containment_location	containment	시장골목속의공동배송장은 상점들이 늘어선 블록 내부에서 화물을 모으는 지정 공간이다. 골목 통행면 전체를 점유하는 것은 아니다.
하천공원내의홍수저류지	other,boundary,function	containment_location	containment	하천공원내의홍수저류지는 평상시 공원 구역에 포함되지만 물이 불면 임시로 범람수를 담는다. 이용 상태와 지리 경계를 나눠 본다.
산업단지안의공동폐수시설	other,classification,function	containment_location	containment	산업단지안의공동폐수시설은 여러 공장 필지와 분리된 기반시설 부지에 놓인다. 단지 포함이 특정 공장 소유를 의미하지 않는다.
아파트단지밖의근린상가	other,boundary,contrast	containment_location	containment	아파트단지밖의근린상가는 단지 출입 경계 바로 옆에 있어도 공동주택 대지에는 포함되지 않는다. 가까움과 소속을 구별한다.
교차로섬안의교통신호기기초	other,part_of,boundary	containment_location	containment	교차로섬안의교통신호기기초는 차량 통행면에 둘러싸인 안전섬 범위에 설치된다. 기초는 신호기의 부분이지만 섬의 내용물이다.
