# family	의사결정 대안의 효용·위험·가역성·제약 비교
# axes	다기준, trade-off, 최악 결과, 되돌림 비용, 자원 제약
# columns	concepts	relations	other_category	logic_pattern	directly_authored_text
# 001~030 의사결정 대안의 가치·위험·제약 직접 비교
두대안가중효용점수차	other,comparison,attribute	multidimensional_order	magnitude_comparison	두대안가중효용점수차는 비용·효과·시간·형평 지표를 공통 척도로 바꾸고 사전 가중치를 곱한 합을 비교한다. 가중치 선택을 결과와 함께 공개한다.
두투자안기대순현재가치순위	other,comparison,state	multidimensional_order	magnitude_comparison	두투자안기대순현재가치순위는 시나리오별 미래 현금흐름에 확률과 할인율을 적용한 평균 현재가치가 큰 안을 앞에 둔다. 꼬리 손실은 별도 평가한다.
두사업성공확률차	other,comparison,state	multidimensional_order	magnitude_comparison	두사업성공확률차는 요구 성능·기간·예산을 모두 만족한 유사 사례와 모형 시나리오의 비율을 비교한다. 성공 정의를 대안마다 다르게 두지 않는다.
두대안기대손실비	other,comparison,attribute	multidimensional_order	magnitude_comparison	두대안기대손실비는 가능한 실패 결과의 비용에 발생 확률을 곱해 합한 값을 비교한다. 작은 평균이 극단 손실의 허용 가능성을 보장하지 않는다.
두전략최악성과순위	other,comparison,boundary	multidimensional_order	magnitude_comparison	두전략최악성과순위는 고려한 시나리오 가운데 가장 낮은 효용이 덜 나쁜 전략을 앞에 둔다. 시나리오 집합 밖의 위험은 따로 명시한다.
두선택최대후회값차	other,comparison,state	multidimensional_order	magnitude_comparison	두선택최대후회값차는 각 미래 상태에서 최선 대안과 선택 대안의 성과 차이 중 가장 큰 값을 비교한다. 확률을 믿기 어려운 결정에 활용한다.
두계획취소복구비용비	other,comparison,function	multidimensional_order	magnitude_comparison	두계획취소복구비용비는 시행 뒤 중단해 원래 상태나 안전한 대안으로 돌아가는 데 드는 금액·시간·손실을 비교한다. 이미 회수 불가능한 비용을 분리한다.
두기술전환소요기간차	other,comparison,process	multidimensional_order	magnitude_comparison	두기술전환소요기간차는 기존 시스템 중단부터 새 대안의 안정 운영까지 필요한 이전·교육·검증 기간을 비교한다. 병행 운전 기간도 포함한다.
두선택미래옵션가치순위	other,comparison,state	multidimensional_order	magnitude_comparison	두선택미래옵션가치순위는 현재의 작은 비용으로 향후 확대·변경·포기할 권리를 보존하는 정도가 큰 대안을 앞에 둔다. 즉시 평균 수익과 분리한다.
두안예산초과확률차	other,comparison,boundary	multidimensional_order	magnitude_comparison	두안예산초과확률차는 비용 시뮬레이션에서 승인 한도를 넘은 경우의 비율을 비교한다. 같은 물가·범위·예비비 기준을 사용한다.
